timestamp_unix,timestamp_iso,phase,step_label,elapsed_in_phase_s,event,total_W,soc_C,cpu_clock_MHz,throttled_flags,0V8_AON_V,0V8_AON_A,0V8_AON_W,0V8_SW_V,0V8_SW_A,0V8_SW_W,1V1_SYS_V,1V1_SYS_A,1V1_SYS_W,1V8_SYS_V,1V8_SYS_A,1V8_SYS_W,3V3_ADC_V,3V3_ADC_A,3V3_ADC_W,3V3_DAC_V,3V3_DAC_A,3V3_DAC_W,3V3_SYS_V,3V3_SYS_A,3V3_SYS_W,3V7_WL_SW_V,3V7_WL_SW_A,3V7_WL_SW_W,BATT_V,BATT_A,BATT_W,DDR_VDD2_V,DDR_VDD2_A,DDR_VDD2_W,DDR_VDDQ_V,DDR_VDDQ_A,DDR_VDDQ_W,EXT5V_V,EXT5V_A,EXT5V_W,HDMI_V,HDMI_A,HDMI_W,VDD_CORE_V,VDD_CORE_A,VDD_CORE_W
1778782644.654,2026-05-14T20:17:24.654,idle,,6.642,,3.0194,46.60,1600.0,0,0.7991,0.002137,0.0017,0.8015,0.384516,0.3082,1.1037,0.244958,0.2704,1.8032,0.253742,0.4575,3.3123,0.000000,0.0000,3.3150,0.000000,0.0000,3.3258,0.160052,0.5323,3.7267,0.000000,0.0000,0.0000,,,1.1084,0.053676,0.0595,0.6040,0.003431,0.0021,5.1108,,,5.1148,0.010623,0.0543,0.7618,1.750280,1.3334
1778782644.899,2026-05-14T20:17:24.899,idle,,6.887,,2.9665,47.70,1700.0,0,0.8006,0.002381,0.0019,0.8004,0.303514,0.2429,1.1077,0.248862,0.2757,1.8144,0.266429,0.4834,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3332,0.162980,0.5433,3.7378,0.000000,0.0000,0.0000,,,1.1070,0.083930,0.0929,0.6007,0.000490,0.0003,5.0612,,,5.1188,0.011355,0.0581,0.8711,1.455590,1.2680
1778782645.140,2026-05-14T20:17:25.140,idle,,7.129,,3.6003,47.70,2400.0,0,0.7997,0.002381,0.0019,0.8004,0.364022,0.2914,1.1081,0.247886,0.2747,1.8139,0.278140,0.5045,3.3132,0.000000,0.0000,3.3150,0.000000,0.0000,3.3258,0.162980,0.5420,3.7285,0.000000,0.0000,0.0000,,,1.1136,0.209825,0.2337,0.5996,0.009804,0.0059,5.0920,,,5.1134,0.010867,0.0556,0.8725,1.937810,1.6907
1778782645.383,2026-05-14T20:17:25.383,idle,,7.371,,4.2388,48.30,2400.0,0,0.7997,0.002503,0.0020,0.8000,0.383541,0.3068,1.1066,0.247886,0.2743,1.8139,0.268381,0.4868,3.3132,0.000061,0.0002,3.3141,0.000000,0.0000,3.3258,0.162980,0.5420,3.7415,0.000000,0.0000,0.0000,,,1.1077,0.117112,0.1297,0.6007,0.010784,0.0065,5.1108,,,5.1295,0.011600,0.0595,0.8725,2.786160,2.4309
1778782645.628,2026-05-14T20:17:25.628,idle,,7.616,,4.9377,48.80,2400.0,0,0.7997,0.002259,0.0018,0.7993,0.342551,0.2738,1.1059,0.248862,0.2752,1.8208,0.259597,0.4727,3.3141,0.000000,0.0000,3.3150,0.000000,0.0000,3.3100,0.166884,0.5524,3.7406,0.000000,0.0000,0.0000,,,1.1077,0.067339,0.0746,0.6037,0.003922,0.0024,5.0960,,,5.0759,0.010745,0.0545,0.8717,3.705950,3.2304
1778782645.869,2026-05-14T20:17:25.868,idle,,7.857,,3.3686,47.70,2400.0,0,0.7997,0.002320,0.0019,0.7996,0.310346,0.2482,1.1044,0.248862,0.2748,1.8012,0.257646,0.4641,3.3132,0.000122,0.0004,3.3141,0.000000,0.0000,3.3119,0.165908,0.5495,3.7415,0.000000,0.0000,0.0000,,,1.1088,0.069291,0.0768,0.6004,0.002451,0.0015,5.1014,,,5.1014,0.011722,0.0598,0.8730,1.937810,1.6917
1778782646.107,2026-05-14T20:17:26.106,idle,,8.095,,3.5724,47.70,2400.0,0,0.7997,0.002259,0.0018,0.8004,0.325961,0.2609,1.1070,0.247886,0.2744,1.8007,0.279116,0.5026,3.3150,0.000061,0.0002,3.3141,0.000000,0.0000,3.3119,0.164932,0.5462,3.7258,0.002928,0.0109,0.0000,,,1.1099,0.228368,0.2535,0.6037,0.014216,0.0086,5.0424,,,5.1067,0.010623,0.0542,0.8722,1.902090,1.6590
1778782646.347,2026-05-14T20:17:26.346,idle,,8.335,,3.2539,48.30,2400.0,0,0.8000,0.002320,0.0019,0.7993,0.309370,0.2473,1.1073,0.247886,0.2745,1.8090,0.258622,0.4679,3.3168,0.000000,0.0000,3.3123,0.000000,0.0000,3.3026,0.166884,0.5512,3.7267,0.000976,0.0036,0.0000,,,1.1136,0.073195,0.0815,0.6007,0.002451,0.0015,5.0987,,,5.1041,0.011477,0.0586,0.8725,1.794930,1.5660
1778782646.587,2026-05-14T20:17:26.587,idle,,8.576,,3.2126,48.80,2400.0,0,0.8000,0.002137,0.0017,0.8022,0.312298,0.2505,1.1044,0.259597,0.2867,1.8017,0.256670,0.4624,3.3132,0.000061,0.0002,3.3150,0.000000,0.0000,3.3045,0.159077,0.5257,3.7183,0.000000,0.0000,0.0000,,,1.1066,0.057580,0.0637,0.6033,0.003922,0.0024,5.0960,,,5.1041,0.011966,0.0611,0.8725,1.786000,1.5582
1778782646.827,2026-05-14T20:17:26.827,idle,,8.816,,3.9166,48.30,2400.0,0,0.7997,0.002259,0.0018,0.8011,0.306442,0.2455,1.1044,0.273260,0.3018,1.8002,0.259597,0.4673,3.3150,0.000000,0.0000,3.3141,0.000000,0.0000,3.3091,0.162980,0.5393,3.7415,0.000000,0.0000,0.0000,,,1.1088,0.073195,0.0812,0.6037,0.002941,0.0018,5.1000,,,5.1134,0.011233,0.0574,0.8725,2.545050,2.2205
